School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Cactus View Elementary School,Paradise Valley Unified District,Math,395,42,Percent Performance Level 1,29
Campo Bello Elementary School,Paradise Valley Unified District,Math,276,39,Percent Performance Level 1,33
Copper Canyon Elementary School,Paradise Valley Unified District,Math,359,79,Percent Performance Level 1,7
Desert Cove Elementary School,Paradise Valley Unified District,Math,293,40,Percent Performance Level 1,39
Desert Shadows Elementary School,Paradise Valley Unified District,Math,290,69,Percent Performance Level 1,12
Desert Shadows Middle School,Paradise Valley Unified District,Math,906,59,Percent Performance Level 1,23
Desert Springs Preparatory Elementary School,Paradise Valley Unified District,Math,243,63,Percent Performance Level 1,17
Desert Trails Elementary School,Paradise Valley Unified District,Math,324,83,Percent Performance Level 1,4
Eagle Ridge Elementary School,Paradise Valley Unified District,Math,266,38,Percent Performance Level 1,30
Echo Mountain Intermediate School,Paradise Valley Unified District,Math,437,24,Percent Performance Level 1,46
Echo Mountain Primary School,Paradise Valley Unified District,Math,154,32,Percent Performance Level 1,42
Explorer Middle School,Paradise Valley Unified District,Math,853,71,Percent Performance Level 1,17
Fireside Elementary School,Paradise Valley Unified District,Math,435,87,Percent Performance Level 1,4
Grayhawk Elementary School,Paradise Valley Unified District,Math,291,74,Percent Performance Level 1,8
Greenway Middle School,Paradise Valley Unified District,Math,533,15,Percent Performance Level 1,68
Hidden Hills Elementary School,Paradise Valley Unified District,Math,283,52,Percent Performance Level 1,23
Horizon High School,Paradise Valley Unified District,Math,1314,48,Percent Performance Level 1,26
Indian Bend Elementary School,Paradise Valley Unified District,Math,296,44,Percent Performance Level 1,34
Larkspur Elementary School,Paradise Valley Unified District,Math,292,31,Percent Performance Level 1,44
Liberty Elementary School,Paradise Valley Unified District,Math,301,55,Percent Performance Level 1,16
Mercury Mine Elementary School,Paradise Valley Unified District,Math,291,63,Percent Performance Level 1,17
Mountain Trail Middle School,Paradise Valley Unified District,Math,669,43,Percent Performance Level 1,35
North Canyon High School,Paradise Valley Unified District,Math,1297,16,Percent Performance Level 1,64
North Ranch Elementary School,Paradise Valley Unified District,Math,295,80,Percent Performance Level 1,7
Palomino Intermediate School,Paradise Valley Unified District,Math,545,26,Percent Performance Level 1,42
Palomino Primary School,Paradise Valley Unified District,Math,183,44,Percent Performance Level 1,23
Paradise Valley High School,Paradise Valley Unified District,Math,1313,35,Percent Performance Level 1,45
Pinnacle High School,Paradise Valley Unified District,Math,1730,49,Percent Performance Level 1,30
Pinnacle Peak Preparatory,Paradise Valley Unified District,Math,385,64,Percent Performance Level 1,14
pvONLINE,Paradise Valley Unified District,Math,301,26,Percent Performance Level 1,52
Quail Run Elementary School,Paradise Valley Unified District,Math,388,66,Percent Performance Level 1,12
Roadrunner School,Paradise Valley Unified District,Math,62,6,Percent Performance Level 1,84
Sandpiper Elementary School,Paradise Valley Unified District,Math,314,67,Percent Performance Level 1,12
Shadow Mountain High School,Paradise Valley Unified District,Math,944,20,Percent Performance Level 1,58
Shea Middle School,Paradise Valley Unified District,Math,701,27,Percent Performance Level 1,52
Sonoran Sky Elementary School,Paradise Valley Unified District,Math,386,76,Percent Performance Level 1,6
Sunrise Middle School,Paradise Valley Unified District,Math,408,44,Percent Performance Level 1,40
Sunset Canyon School,Paradise Valley Unified District,Math,285,39,Percent Performance Level 1,26
Vista Verde Middle School,Paradise Valley Unified District,Math,646,24,Percent Performance Level 1,57
Whispering Wind Academy,Paradise Valley Unified District,Math,306,55,Percent Performance Level 1,18
Wildfire Elementary School,Paradise Valley Unified District,Math,431,68,Percent Performance Level 1,12
Paradise Education Center,"Paragon Management, Inc.",Math,1245,62,Percent Performance Level 1,17
Paradise Honors High School,"Paragon Management, Inc.",Math,493,53,Percent Performance Level 1,24
Paramount Academy,Paramount Education Studies Inc,Math,197,35,Percent Performance Level 1,39
Canyon View Prep Academy,"Park View School, Inc.",Math,103,48,Percent Performance Level 1,32
Park View Middle School,"Park View School, Inc.",Math,87,25,Percent Performance Level 1,52
Le Pera Elementary School,Parker Unified School District,Math,164,23,Percent Performance Level 1,53
Parker High School,Parker Unified School District,Math,452,17,Percent Performance Level 1,67
Wallace Elementary School,Parker Unified School District,Math,392,38,Percent Performance Level 1,38
Wallace Jr High School,Parker Unified School District,Math,351,21,Percent Performance Level 1,63
Intelli-School - Metro Center,"PAS Charter, Inc., dba Intelli-School",Math,24,42,Percent Performance Level 1,46
Intelli-School Glendale,"PAS Charter, Inc., dba Intelli-School",Math,18,28,Percent Performance Level 1,56
Patagonia Elementary School,Patagonia Elementary District,Math,62,29,Percent Performance Level 1,44
Patagonia Montessori School,Patagonia Montessori Elementary School,Math,16,38,Percent Performance Level 1,31
Patagonia Union High School,Patagonia Union High School District,Math,56,38,Percent Performance Level 1,30
Imagine Cortez Park Elementary,Pathfinder Charter School Foundation,Math,264,46,Percent Performance Level 1,25
Julia Randall Elementary School,Payson Unified District,Math,544,40,Percent Performance Level 1,31
Payson Center for Success - Online,Payson Unified District,Math,11,55,Percent Performance Level 1,18
Payson Center for Success High School,Payson Unified District,Math,51,39,Percent Performance Level 1,35
Payson High School,Payson Unified District,Math,497,25,Percent Performance Level 1,52
Rim Country Middle School,Payson Unified District,Math,551,46,Percent Performance Level 1,34
The Peak School,"PEAK School Inc., The",Math,101,32,Percent Performance Level 1,41
Pearce Elementary School,Pearce Elementary District,Math,60,40,Percent Performance Level 1,38
Amberlea Elementary School,Pendergast Elementary District,Math,463,23,Percent Performance Level 1,52
Canyon Breeze Elementary,Pendergast Elementary District,Math,565,28,Percent Performance Level 1,47
Copper King Elementary,Pendergast Elementary District,Math,645,32,Percent Performance Level 1,42
Desert Horizon Elementary School,Pendergast Elementary District,Math,640,15,Percent Performance Level 1,67
Desert Mirage Elementary School,Pendergast Elementary District,Math,516,32,Percent Performance Level 1,42
Garden Lakes Elementary School,Pendergast Elementary District,Math,676,41,Percent Performance Level 1,35
Pendergast Elementary School,Pendergast Elementary District,Math,590,23,Percent Performance Level 1,53
Rio Vista Elementary,Pendergast Elementary District,Math,552,37,Percent Performance Level 1,41
Sonoran Sky Elementary School,Pendergast Elementary District,Math,397,19,Percent Performance Level 1,56
Sunset Ridge Elementary School,Pendergast Elementary District,Math,471,35,Percent Performance Level 1,37
Villa De Paz Elementary School,Pendergast Elementary District,Math,499,27,Percent Performance Level 1,52
Westwind Elementary School,Pendergast Elementary District,Math,840,34,Percent Performance Level 1,45
Pensar Academy,Pensar Academy,Math,161,27,Percent Performance Level 1,49
Alta Loma School,Peoria Unified School District,Math,535,37,Percent Performance Level 1,37
Apache Elementary School,Peoria Unified School District,Math,507,66,Percent Performance Level 1,13
Cactus High School,Peoria Unified School District,Math,1010,44,Percent Performance Level 1,29
Canyon Elementary School,Peoria Unified School District,Math,238,46,Percent Performance Level 1,31
Centennial High School,Peoria Unified School District,Math,1443,48,Percent Performance Level 1,28
Cheyenne Elementary School,Peoria Unified School District,Math,505,38,Percent Performance Level 1,35
Copperwood School,Peoria Unified School District,Math,626,65,Percent Performance Level 1,19
Cotton Boll School,Peoria Unified School District,Math,665,36,Percent Performance Level 1,39
Country Meadows Elementary School,Peoria Unified School District,Math,780,37,Percent Performance Level 1,37
Coyote Hills Elementary School,Peoria Unified School District,Math,631,56,Percent Performance Level 1,20
Desert Harbor Elementary School,Peoria Unified School District,Math,523,57,Percent Performance Level 1,18
Desert Palms Elementary School,Peoria Unified School District,Math,335,31,Percent Performance Level 1,42
Desert Valley Elementary School,Peoria Unified School District,Math,341,43,Percent Performance Level 1,30
Foothills Elementary School,Peoria Unified School District,Math,440,35,Percent Performance Level 1,37
Frontier Elementary School,Peoria Unified School District,Math,627,57,Percent Performance Level 1,19
Heritage School,Peoria Unified School District,Math,388,34,Percent Performance Level 1,41
Ira A Murphy,Peoria Unified School District,Math,309,36,Percent Performance Level 1,37
Ironwood High School,Peoria Unified School District,Math,1541,48,Percent Performance Level 1,28
Kachina Elementary School,Peoria Unified School District,Math,268,44,Percent Performance Level 1,25
Lake Pleasant Elementary,Peoria Unified School District,Math,441,58,Percent Performance Level 1,18
Liberty High School,Peoria Unified School District,Math,1756,63,Percent Performance Level 1,15
Marshall Ranch Elementary School,Peoria Unified School District,Math,535,40,Percent Performance Level 1,32
Oakwood Elementary School,Peoria Unified School District,Math,688,62,Percent Performance Level 1,19
Oasis Elementary School,Peoria Unified School District,Math,517,57,Percent Performance Level 1,20
Parkridge Elementary,Peoria Unified School District,Math,642,66,Percent Performance Level 1,15
Paseo Verde Elementary School,Peoria Unified School District,Math,570,53,Percent Performance Level 1,24
Peoria eCampus,Peoria Unified School District,Math,119,55,Percent Performance Level 1,23
Peoria Elementary School,Peoria Unified School District,Math,376,24,Percent Performance Level 1,51
Peoria High School,Peoria Unified School District,Math,1252,34,Percent Performance Level 1,42
Peoria Traditional School,Peoria Unified School District,Math,148,77,Percent Performance Level 1,8
Pioneer Elementary School,Peoria Unified School District,Math,306,41,Percent Performance Level 1,33
Raymond S. Kellis,Peoria Unified School District,Math,1538,35,Percent Performance Level 1,41
Sahuaro Ranch Elementary School,Peoria Unified School District,Math,371,39,Percent Performance Level 1,35
Santa Fe Elementary School,Peoria Unified School District,Math,570,42,Percent Performance Level 1,34
Sky View Elementary School,Peoria Unified School District,Math,338,47,Percent Performance Level 1,36
Sun Valley Elementary School,Peoria Unified School District,Math,648,44,Percent Performance Level 1,36
Sundance Elementary School,Peoria Unified School District,Math,462,37,Percent Performance Level 1,35
Sunrise Mountain High School,Peoria Unified School District,Math,1443,62,Percent Performance Level 1,17
Sunset Heights Elementary School,Peoria Unified School District,Math,722,62,Percent Performance Level 1,16
Vistancia Elementary School,Peoria Unified School District,Math,736,70,Percent Performance Level 1,11
Zuni Hills Elementary School,Peoria Unified School District,Math,682,57,Percent Performance Level 1,19
"Phoenix Collegiate Academy Elementary, LLC","Phoenix Collegiate Academy Elementary, LLC",Math,71,25,Percent Performance Level 1,46
Phoenix Collegiate Academy Charter School,"Phoenix Collegiate Academy, Inc.",Math,163,28,Percent Performance Level 1,40
SABIS International,"Phoenix Education Management, LLC,",Math,452,19,Percent Performance Level 1,51
Augustus H. Shaw Montessori,Phoenix Elementary District,Math,158,48,Percent Performance Level 1,23
Capitol Elementary School,Phoenix Elementary District,Math,385,42,Percent Performance Level 1,35
Garfield School,Phoenix Elementary District,Math,415,16,Percent Performance Level 1,63
Kenilworth Elementary School,Phoenix Elementary District,Math,331,31,Percent Performance Level 1,43
Lowell Elementary School,Phoenix Elementary District,Math,374,26,Percent Performance Level 1,52
Magnet Traditional School,Phoenix Elementary District,Math,331,62,Percent Performance Level 1,17
Maie Bartlett Heard School,Phoenix Elementary District,Math,425,24,Percent Performance Level 1,52
Mary Mcleod Bethune School,Phoenix Elementary District,Math,290,28,Percent Performance Level 1,46
Paul Dunbar Lawrence School,Phoenix Elementary District,Math,229,20,Percent Performance Level 1,55
Ralph Waldo Emerson Elementary School,Phoenix Elementary District,Math,299,29,Percent Performance Level 1,43
Silvestre S Herrera School,Phoenix Elementary District,Math,405,26,Percent Performance Level 1,51
Thomas A Edison School,Phoenix Elementary District,Math,401,21,Percent Performance Level 1,50
Whittier Elementary School,Phoenix Elementary District,Math,282,36,Percent Performance Level 1,37
Alhambra High School,Phoenix Union High School District,Math,1808,20,Percent Performance Level 1,61
Betty Fairfax High School,Phoenix Union High School District,Math,1107,25,Percent Performance Level 1,52
Camelback High School,Phoenix Union High School District,Math,1581,16,Percent Performance Level 1,62
Carl Hayden High School,Phoenix Union High School District,Math,1468,24,Percent Performance Level 1,57
Central High School,Phoenix Union High School District,Math,1399,21,Percent Performance Level 1,58
Cesar Chavez High School,Phoenix Union High School District,Math,1727,20,Percent Performance Level 1,59
Franklin Police and Fire High School,Phoenix Union High School District,Math,234,56,Percent Performance Level 1,15
Maryvale High School,Phoenix Union High School District,Math,2078,17,Percent Performance Level 1,66
Metro Tech High School,Phoenix Union High School District,Math,1405,33,Percent Performance Level 1,37
North High School,Phoenix Union High School District,Math,1924,23,Percent Performance Level 1,58
Phoenix Coding Academy,Phoenix Union High School District,Math,166,53,Percent Performance Level 1,23
Phoenix Union Bioscience High School,Phoenix Union High School District,Math,280,84,Percent Performance Level 1,3
